City_ID,City,Lat,Max Temp,% Humidity,Cloudiness,Wind Speed
0,Izazi,-7.2,69.8,83,75,2.66
1,Mujiayingzi,42.1167,30.16,29,0,1.3
2,Qaanaaq,77.484,4.26,65,100,3.78
3,Kaputa,-8.4689,70.59,78,99,4.09
4,Vaini,-21.2,68.0,100,75,4.61
5,Lar,26.2039,70.79,21,0,6.51
6,Verkhnevilyuysk,63.4453,9.01,94,99,6.8
7,Laas,46.6166,50.0,64,40,6.91
8,Zamość,50.7231,41.0,56,0,4.61
9,Saint Paul Harbor,57.79,28.4,50,1,9.22
10,Kununurra,-15.7667,78.8,89,96,5.75
11,Rikitea,-23.1203,80.13,77,40,13.82
12,Balyqshy,47.0667,35.6,41,100,24.61
13,Teluknaga,-6.0989,81.0,83,20,2.3
14,Savé,8.0425,91.92,34,73,6.49
15,Bāneh,35.9975,45.91,69,0,6.8
16,Bukama,-9.2,71.98,88,100,1.88
17,Provideniya,64.3833,3.36,94,100,5.26
18,Sawtell,-30.3833,64.4,94,75,9.22
19,Garissa,-0.4536,89.17,41,26,14.14
20,Kashgar,39.4547,51.8,32,40,6.71
21,Bambous Virieux,-20.3428,80.6,74,40,10.36
22,Kavieng,-2.5744,81.86,74,100,7.49
23,Ushuaia,-54.8,42.8,70,75,25.32
24,Airai,-8.9266,60.44,87,96,0.78
25,Tessalit,20.1986,82.18,11,0,8.12
26,Hobart,-42.8794,50.0,93,22,5.75
27,New Norfolk,-42.7826,50.0,76,34,2.08
28,Mar del Plata,-38.0023,71.6,94,90,10.36
29,Saint-Pierre,-21.3393,78.8,69,0,9.22
30,Marsh Harbour,26.5412,74.75,72,28,14.58
31,Port Lincoln,-34.7333,61.39,90,6,7.45
32,Monte Patria,-30.6919,81.1,25,100,10.42
33,Port Alfred,-33.5906,66.99,88,95,10.76
34,Hithadhoo,-0.6,81.73,73,100,6.91
35,Bluff,-46.6,54.0,89,100,13.0
36,Vostok,46.4856,19.08,97,100,3.78
37,Gravdal,68.1214,30.2,80,20,3.44
38,Uíge,-7.6087,67.69,98,100,0.58
39,Lagoa,39.05,60.46,91,80,25.55
40,Swedru,5.5371,84.2,74,0,17.27
41,Torbay,47.6666,28.99,86,90,26.46
42,Tarazá,7.5836,88.32,62,89,3.49
43,Ardakān,32.31,62.6,25,20,6.35
44,Husavik,66.0449,39.2,70,0,10.36
45,Druzhba,52.0428,33.6,86,100,9.22
46,Khatanga,71.9667,-43.17,97,52,9.33
47,Tevaitoa,-16.7833,81.86,70,100,8.1
48,Aklavik,68.2191,-11.2,77,8,1.14
49,Lata,40.1629,68.0,42,0,11.5
50,Bredasdorp,-34.5322,59.0,88,25,4.61
51,Kaitangata,-46.2817,51.01,83,100,11.01
52,Puducherry,11.93,77.95,78,0,4.32
53,Jamestown,42.097,37.99,69,90,8.59
54,Mataura,-46.1927,54.0,89,100,13.0
55,Carnarvon,-24.8667,78.8,83,64,12.66
56,Bethel,41.3712,33.8,27,90,5.75
57,Busselton,-33.65,65.59,65,0,6.15
58,Severo-Kuril'sk,50.6789,34.63,98,100,11.12
59,Hermanus,-34.4187,61.0,85,33,12.17
60,Upernavik,72.7868,3.81,91,100,14.27
61,Esim,4.8699,81.41,82,75,8.81
62,Necochea,-38.5473,69.01,91,100,12.5
63,Longyearbyen,78.2186,-7.6,71,20,11.5
64,Yumen,40.2833,31.73,20,99,6.08
65,Andros Town,24.7,78.8,57,20,17.27
66,Punta Arenas,-53.15,50.0,57,75,36.82
67,Castro,-24.7911,80.38,60,12,3.47
68,Constitución,-35.3333,64.67,64,39,11.77
69,Beloha,-25.1667,76.64,77,0,11.81
70,Santa Cruz de la Sierra,-17.8,86.0,61,75,19.57
71,Avarua,-21.2078,78.8,83,37,8.05
72,Smithers,54.7804,37.4,60,75,9.22
73,Ilulissat,69.2167,10.4,72,75,6.91
74,Cariré,-3.9506,83.79,75,54,5.84
75,Tasiilaq,65.6145,23.0,93,90,42.57
76,Cape Town,-33.9258,70.0,72,20,19.57
77,East London,-33.0153,66.2,94,0,2.3
78,Saint-François,46.4154,44.01,93,90,4.61
79,Marzuq,14.4,63.05,57,72,6.22
80,Hilo,19.7297,73.4,68,20,4.61
81,Vila Franca do Campo,37.7167,60.8,77,20,13.8
82,Ibrā’,22.6906,68.99,42,0,4.09
83,Kapaa,22.0752,72.0,94,90,23.02
84,Troy,42.6056,48.0,61,90,1.39
85,Sitka,57.0531,33.8,93,75,2.3
86,Ahipara,-35.1667,60.31,88,11,8.46
87,Lebowakgomo,-24.2,71.6,43,0,5.75
88,Puerto Ayora,-0.7393,82.4,78,20,11.5
89,Port Blair,11.6667,79.47,69,21,5.73
90,Barrow,71.2906,-5.8,77,90,13.8
91,Port Elizabeth,-33.918,68.0,73,75,9.22
92,Hanyang,32.1371,66.0,86,88,1.63
93,Three Hills,51.7001,39.99,44,0,11.5
94,Arraial do Cabo,-22.9661,89.6,61,0,12.66
95,Lanzhou,36.0564,50.0,20,4,3.04
96,Geraldton,-28.7667,73.4,83,100,1.14
97,Denpasar,-8.65,78.8,83,20,3.44
98,Huarmey,-10.0681,78.6,68,10,11.59
99,Hasaki,35.7333,46.4,81,20,2.3
100,Mackay,-21.15,73.4,94,40,6.91
101,Yellowknife,62.456,3.2,72,40,6.91
102,Port Keats,-14.25,77.22,87,100,0.81
103,Chara,56.9064,3.7,67,100,1.3
104,Igarka,67.4667,-27.8,90,31,5.91
